Key,en,ja,reviewed
Brows,Brows,眉,True
Ear,Ear,耳,True
Eye,Eye,目,True
Base Hair,Base Hair,髪ベース,True
Hair Bang >>,Hair Bang >>,前髪 >>,True
Hair Bang ><,Hair Bang ><,前髪 中央,True
Hair Bang <<,Hair Bang <<,前髪 <<,True
Hair Shine,Hair Shine,髪ツヤ,True
Hair Branch >>,Hair Branch >>,髪ハネ >>,True
Hair Branch <<,Hair Branch <<,髪ハネ <<,True
Hair Framing >>,Hair Framing >>,顔まわり髪 >>,True
Hair Framing <<,Hair Framing <<,顔まわり髪 <<,True
Hair Framing,Hair Framing,顔まわり髪,True
Hair Highlight 1 >>,Hair Highlight 1 >>,髪ハイライト 1 >>,True
Hair Highlight 2 >>,Hair Highlight 2 >>,髪ハイライト 2 >>,True
Hair Highlight 3 >>,Hair Highlight 3 >>,髪ハイライト 3 >>,True
Hair Highlight 1 ><,Hair Highlight 1 ><,髪ハイライト 1 中央,True
Hair Highlight 2 ><,Hair Highlight 2 ><,髪ハイライト 2 中央,True
Hair Highlight 3 ><,Hair Highlight 3 ><,髪ハイライト 3 中央,True
Hair Highlight 4 ><,Hair Highlight 4 ><,髪ハイライト 4 中央,True
Hair Highlight 5 ><,Hair Highlight 5 ><,髪ハイライト 5 中央,True
Hair Highlight 6 ><,Hair Highlight 6 ><,髪ハイライト 6 中央,True
Hair Highlight 1 <<,Hair Highlight 1 <<,髪ハイライト 1 <<,True
Hair Highlight 2 <<,Hair Highlight 2 <<,髪ハイライト 2 <<,True
Hair Highlight 3 <<,Hair Highlight 3 <<,髪ハイライト 3 <<,True
Hair Side,Hair Side,横髪,True
Hair Ahoge,Hair Ahoge,アホ毛,True
Hair Rear,Hair Rear,後ろ髪,True
Hair Pigtail >>,Hair Pigtail >>,おさげ >>,True
Hair Pigtail <<,Hair Pigtail <<,おさげ <<,True
Animal Ear,Animal Ear,ケモ耳,True
Antenna,Antenna,アンテナ,True
Fin,Fin,ヒレ,True
Gill,Gill,エラ,True
Glasses,Glasses,メガネ,True
Hairband A,Hairband A,ヘアバンド A,True
Hairband B,Hairband B,ヘアバンド B,True
Hairband C,Hairband C,ヘアバンド C,True
Hairband D,Hairband D,ヘアバンド D,True
Hair Clip >>,Hair Clip >>,ヘアピン >>,True
Hair Clip <<,Hair Clip <<,ヘアピン <<,True
Halo,Halo,天使の輪,True
Hat,Hat,帽子,True
Ear Wing,Ear Wing,耳羽,True
Horn,Horn,角,True
Horn Front ><,Horn Front ><,角 前中央,True
Horn Front,Horn Front,角 前,True
Mecha,Mecha,メカ,True
Outfit Collar Inner,Outfit Collar Inner,襟 内側,True
Outfit Inner,Outfit Inner,服 内側,True
Outfit Outer,Outfit Outer,服 外側,True
Outfit Neckwear A,Outfit Neckwear A,首アクセ A,True
Outfit Neckwear B,Outfit Neckwear B,首アクセ B,True
Outfit Neckwear C,Outfit Neckwear C,首アクセ C,True
Hair Side Branch >> A,Hair Side Branch >> A,横髪 ハネ >> A,True
Hair Side Branch >> B,Hair Side Branch >> B,横髪 ハネ >> B,True
Hair Side Branch >> C,Hair Side Branch >> C,横髪 ハネ >> C,True
Hair Side Branch << A,Hair Side Branch << A,横髪 ハネ << A,True
Hair Side Branch << B,Hair Side Branch << B,横髪 ハネ << B,True
Hair Side Branch << C,Hair Side Branch << C,横髪 ハネ << C,True
Tail,Tail,しっぽ,True
Wing,Wing,翼,True
Facial Hair A,Facial Hair A,ひげ A,True
Facial Hair B,Facial Hair B,ひげ B,True
Cheek,Cheek,頬,True
Face Feature A >>,Face Feature A >>,顔の特徴 A >>,True
Face Feature A <<,Face Feature A <<,顔の特徴 A <<,True
Face Feature B >>,Face Feature B >>,顔の特徴 B >>,True
Face Feature B <<,Face Feature B <<,顔の特徴 B <<,True
Face Feature C,Face Feature C,顔パーツ C,True
Nose,Nose,鼻,True
Earring >>,Earring >>,イヤリング >>,True
Earring <<,Earring <<,イヤリング <<,True
Piercing A >>,Piercing A >>,ピアス A >>,True
Piercing A <<,Piercing A <<,ピアス A <<,True
Piercing B >>,Piercing B >>,ピアス B >>,True
Piercing B <<,Piercing B <<,ピアス B <<,True
Hand,Hand,手,True
Leg,Leg,脚,True
Cape Back,Cape Back,ケープ 後ろ,True
Cape Front,Cape Front,ケープ 前,True
